fecha,valor
2001-04-30 22:00:00,106.497
2001-05-31 22:00:00,110.248
2001-06-30 22:00:00,115.677
2001-07-31 22:00:00,104.417
2001-08-31 22:00:00,104.088
2001-09-30 22:00:00,110.799
2001-10-31 23:00:00,106.365
2001-11-30 23:00:00,137.886
2001-12-31 23:00:00,116.018
2002-01-31 23:00:00,99.398
2002-02-28 23:00:00,109.022
2002-03-31 22:00:00,108.567
2002-04-30 22:00:00,111.803
2002-05-31 22:00:00,111.097
2002-06-30 22:00:00,122.979
2002-07-31 22:00:00,108.626
2002-08-31 22:00:00,111.313
2002-09-30 22:00:00,116.381
2002-10-31 23:00:00,110.413
2002-11-30 23:00:00,136.521
2002-12-31 23:00:00,119.229
2003-01-31 23:00:00,101.899
2003-02-28 23:00:00,110.222
2003-03-31 22:00:00,111.676
2003-04-30 22:00:00,115.635
2003-05-31 22:00:00,115.084
2003-06-30 22:00:00,126.793
2003-07-31 22:00:00,109.031
2003-08-31 22:00:00,114.684
2003-09-30 22:00:00,121.268
2003-10-31 23:00:00,111.461
2003-11-30 23:00:00,143.634
2003-12-31 23:00:00,123.974
2004-01-31 23:00:00,106.962
2004-02-29 23:00:00,116.073
2004-03-31 22:00:00,116.006
2004-04-30 22:00:00,115.656
2004-05-31 22:00:00,119.514
2004-06-30 22:00:00,130.515
2004-07-31 22:00:00,108.688
2004-08-31 22:00:00,115.894
2004-09-30 22:00:00,120.385
2004-10-31 23:00:00,117.242
2004-11-30 23:00:00,146.999
2004-12-31 23:00:00,124.182
2005-01-31 23:00:00,107.74
2005-02-28 23:00:00,117.914
2005-03-31 22:00:00,119.254
2005-04-30 22:00:00,117.064
2005-05-31 22:00:00,120.861
2005-06-30 22:00:00,128.377
2005-07-31 22:00:00,111.831
2005-08-31 22:00:00,118.207
2005-09-30 22:00:00,120.167
2005-10-31 23:00:00,117.464
2005-11-30 23:00:00,147.61
2005-12-31 23:00:00,124.316
2006-01-31 23:00:00,108.572
2006-02-28 23:00:00,120.76
2006-03-31 22:00:00,116.05
2006-04-30 22:00:00,120.624
2006-05-31 22:00:00,122.306
2006-06-30 22:00:00,130.89
2006-07-31 22:00:00,114.89
2006-08-31 22:00:00,122.253
2006-09-30 22:00:00,123.461
2006-10-31 23:00:00,121.486
2006-11-30 23:00:00,151.062
2006-12-31 23:00:00,129.703
2007-01-31 23:00:00,112.206
2007-02-28 23:00:00,127.72
2007-03-31 22:00:00,118.476
2007-04-30 22:00:00,124.387
2007-05-31 22:00:00,127.082
2007-06-30 22:00:00,135.678
2007-07-31 22:00:00,120.472
2007-08-31 22:00:00,122.307
2007-09-30 22:00:00,127.524
2007-10-31 23:00:00,122.929
2007-11-30 23:00:00,147.951
2007-12-31 23:00:00,127.807
2008-01-31 23:00:00,113.176
2008-02-29 23:00:00,116.544
2008-03-31 22:00:00,118.38
2008-04-30 22:00:00,118.318
2008-05-31 22:00:00,114.764
2008-06-30 22:00:00,129.243
2008-07-31 22:00:00,110.826
2008-08-31 22:00:00,115.099
2008-09-30 22:00:00,118.548
2008-10-31 23:00:00,110.726
2008-11-30 23:00:00,137.238
2008-12-31 23:00:00,120.02
2009-01-31 23:00:00,99.925
2009-02-28 23:00:00,107.757
2009-03-31 22:00:00,108.455
2009-04-30 22:00:00,108.87
2009-05-31 22:00:00,111.864
2009-06-30 22:00:00,123.674
2009-07-31 22:00:00,105.926
2009-08-31 22:00:00,110.741
2009-09-30 22:00:00,113.495
2009-10-31 23:00:00,105.388
2009-11-30 23:00:00,135.53
2009-12-31 23:00:00,114.836
2010-01-31 23:00:00,99.258
2010-02-28 23:00:00,111.888
2010-03-31 22:00:00,106.026
2010-04-30 22:00:00,107.377
2010-05-31 22:00:00,113.251
2010-06-30 22:00:00,119.56
2010-07-31 22:00:00,103.431
2010-08-31 22:00:00,106.357
2010-09-30 22:00:00,108.901
2010-10-31 23:00:00,103.205
2010-11-30 23:00:00,127.814
2010-12-31 23:00:00,108.073
2011-01-31 23:00:00,93.66
2011-02-28 23:00:00,101.895
2011-03-31 22:00:00,102.442
2011-04-30 22:00:00,99.824
2011-05-31 22:00:00,103.322
2011-06-30 22:00:00,112.209
2011-07-31 22:00:00,99.285
2011-08-31 22:00:00,100.706
2011-09-30 22:00:00,101.364
2011-10-31 23:00:00,95.962
2011-11-30 23:00:00,119.62
2011-12-31 23:00:00,104.141
2012-01-31 23:00:00,90.775
2012-02-29 23:00:00,97.895
2012-03-31 22:00:00,90.779
2012-04-30 22:00:00,95.344
2012-05-31 22:00:00,97.984
2012-06-30 22:00:00,103.451
2012-07-31 22:00:00,96.772
2012-08-31 22:00:00,85.23
2012-09-30 22:00:00,90.134
2012-10-31 23:00:00,85.804
2012-11-30 23:00:00,104.67
2012-12-31 23:00:00,93.23
2013-01-31 23:00:00,79.852
2013-02-28 23:00:00,85.698
2013-03-31 22:00:00,86.764
2013-04-30 22:00:00,89.304
2013-05-31 22:00:00,89.416
2013-06-30 22:00:00,99.743
2013-07-31 22:00:00,90.724
2013-08-31 22:00:00,86.985
2013-09-30 22:00:00,89.836
2013-10-31 23:00:00,87.576
2013-11-30 23:00:00,104.634
2013-12-31 23:00:00,93.08
2014-01-31 23:00:00,79.601
2014-02-28 23:00:00,86.144
2014-03-31 22:00:00,86.853
2014-04-30 22:00:00,90.055
2014-05-31 22:00:00,89.343
2014-06-30 22:00:00,99.613
2014-07-31 22:00:00,89.908
2014-08-31 22:00:00,89.37
2014-09-30 22:00:00,91.58
2014-10-31 23:00:00,87.832
2014-11-30 23:00:00,110.182
2014-12-31 23:00:00,97.05
2015-01-31 23:00:00,82.066
2015-02-28 23:00:00,89.937
2015-03-31 22:00:00,89.657
2015-04-30 22:00:00,92.205
2015-05-31 22:00:00,93.43
2015-06-30 22:00:00,104.32
2015-07-31 22:00:00,93.427
2015-08-31 22:00:00,94.316
2015-09-30 22:00:00,96.854
2015-10-31 23:00:00,92.354
2015-11-30 23:00:00,114.266
2015-12-31 23:00:00,99.294
2016-01-31 23:00:00,88.391
2016-02-29 23:00:00,94.165
2016-03-31 22:00:00,95.572
2016-04-30 22:00:00,94.974
2016-05-31 22:00:00,99.087
2016-06-30 22:00:00,107.948
2016-07-31 22:00:00,98.297
2016-08-31 22:00:00,97.758
2016-09-30 22:00:00,97.578
2016-10-31 23:00:00,96.123
2016-11-30 23:00:00,115.621
2016-12-31 23:00:00,99.045
2017-01-31 23:00:00,85.462
2017-02-28 23:00:00,96.326
2017-03-31 22:00:00,94.297
2017-04-30 22:00:00,98.198
2017-05-31 22:00:00,101.62
2017-06-30 22:00:00,108.434
2017-07-31 22:00:00,99.128
2017-08-31 22:00:00,99.192
2017-09-30 22:00:00,95.841
2017-10-31 23:00:00,98.479
2017-11-30 23:00:00,116.913
2017-12-31 23:00:00,101.482
2018-01-31 23:00:00,87.238
2018-02-28 23:00:00,97.754
2018-03-31 22:00:00,95.019
2018-04-30 22:00:00,98.035
2018-05-31 22:00:00,102.284
2018-06-30 22:00:00,107.681
2018-07-31 22:00:00,99.408
2018-08-31 22:00:00,96.098
2018-09-30 22:00:00,100.193
2018-10-31 23:00:00,99.909
2018-11-30 23:00:00,117.021
2018-12-31 23:00:00,103.243
2019-01-31 23:00:00,88.751
2019-02-28 23:00:00,97.839
2019-03-31 22:00:00,96.91
2019-04-30 22:00:00,101.068
2019-05-31 22:00:00,102.685
2019-06-30 22:00:00,112.816
2019-07-31 22:00:00,102.689
2019-08-31 22:00:00,99.601
2019-09-30 22:00:00,102.783
2019-10-31 23:00:00,102.949
2019-11-30 23:00:00,119.36
2019-12-31 23:00:00,104.171
2020-01-31 23:00:00,93.737
2020-02-29 23:00:00,84.609
2020-03-31 22:00:00,68.032
2020-04-30 22:00:00,81.83
2020-05-31 22:00:00,99.571
2020-06-30 22:00:00,108.88
2020-07-31 22:00:00,98.067
2020-08-31 22:00:00,97.698
2020-09-30 22:00:00,100.715
2020-10-31 23:00:00,97.246
2020-11-30 23:00:00,119.091
2020-12-31 23:00:00,93.824
2021-01-31 23:00:00,84.588
2021-02-28 23:00:00,98.455
2021-03-31 22:00:00,92.539
2021-04-30 22:00:00,96.642
2021-05-31 22:00:00,101.774
2021-06-30 22:00:00,109.482
2021-07-31 22:00:00,99.058
2021-08-31 22:00:00,99.291
2021-09-30 22:00:00,100.544
2021-10-31 23:00:00,104.747
2021-11-30 23:00:00,119.056
2021-12-31 23:00:00,99.481
2022-01-31 23:00:00,89.271
2022-02-28 23:00:00,97.751
2022-03-31 22:00:00,97.512
2022-04-30 22:00:00,101.161
2022-05-31 22:00:00,103.861
2022-06-30 22:00:00,109.111
2022-07-31 22:00:00,102.994
2022-08-31 22:00:00,101.056
2022-09-30 22:00:00,100.53
2022-10-31 23:00:00,102.446
2022-11-30 23:00:00,120.033
2022-12-31 23:00:00,102.337
2023-01-31 23:00:00,89.646
2023-02-28 23:00:00,101.985
2023-03-31 22:00:00,99.07
2023-04-30 22:00:00,104.651
2023-05-31 22:00:00,107.484
2023-06-30 22:00:00,112.446
2023-07-31 22:00:00,104.142
2023-08-31 22:00:00,102.651
2023-09-30 22:00:00,102.31
2023-10-31 23:00:00,106.286
2023-11-30 23:00:00,121.344
2023-12-31 23:00:00,104.641
2024-01-31 23:00:00,94.017
2024-02-29 23:00:00,100.525
2024-03-31 22:00:00,101.794
2024-04-30 22:00:00,105.074
2024-05-31 22:00:00,106.013
2024-06-30 22:00:00,115.66
2024-07-31 22:00:00,107.403
2024-08-31 22:00:00,104.482
2024-09-30 22:00:00,107.853
2024-10-31 23:00:00,108.212
2024-11-30 23:00:00,125.823
2024-12-31 23:00:00,106.982
2025-01-31 23:00:00,94.735
2025-02-28 23:00:00,104.376
2025-03-31 22:00:00,105.535
2025-04-30 22:00:00,110.327
2025-05-31 22:00:00,112.652
2025-06-30 22:00:00,120.682
2025-07-31 22:00:00,110.784
2025-08-31 22:00:00,110.907
2025-09-30 22:00:00,112.7
2025-10-31 23:00:00,112.437
2025-11-30 23:00:00,131.667
2025-12-31 23:00:00,110.905
2026-01-31 23:00:00,96.716
2026-02-28 23:00:00,108.433
2026-03-31 22:00:00,105.83
